Date and Time;Trend Age;Inoculation Age;I: Air Act.;I: O2 Act.;I: CO2 Act.;I: TempV;I: TempJ;I: DOamp;I: pH;I: Level 1;I: Stirr Act.;I: Torque;I: Balance1;I: Vol. Pump A1;I: Vol. Pump A2;I: Vol. Pump A3;I: Vol. Pump A4;I: Vol. CO2 Act.;I: Vol. O2 Act.;I: Vol. Air Act.;SP Temperature;SP Oxygen;SP pH;SP Foam;SP Level;O: Air Setp.;O: O2 Setp.;O: CO2 Setp.;O: N2;O: Heat;O: Cool;O: PumpTh;O: Stirr Setp.;O: Pump A1;O: Pump A2;O: Pump A3;O: Pump A4;O: Headspace 
DDD MMM D HH:MM:SS JJJJ;h;h;ml/min;ml/min;ml/min;C;C;%;-;-;rpm;;g;ml;ml;ml;ml;ml;ml;ml;C;%;-;-;g;ml/min;ml/min;ml/min;%;%;%;-;rpm;g/h;g/h;g/h;g/h;-
Tue Apr 13 17:27:52 2021;0;0;100.005;-0.0757486;-0.663953;35.2;26.3;133.613;8.89087;0;0;0;0;1.554;0;16.7607;32.5699;2648.05;0.00618277;5786.32;37;40;7;0;0;100;0;0;0;19.2258;0;1;0;0;0;0;0;1
Tue Apr 13 17:57:52 2021;0.5;0;99.9957;-0.098452;-0.662302;35.4;35.9;91.7152;7.61719;0;190;0.135248;0;0;0;0;0;0;0;520.043;37;40;7;0;0;100;0;0;0;12.9731;0;1;190;0;0;0;0;1
Tue Apr 13 18:27:52 2021;1;0;100.006;-0.135639;-0.656667;36.7;38;91.19;7.75242;0;190;0.152903;0;0;0;0;0;0;0;1120.02;37;40;7;0;0;100;0;0;0;6.32808;0;1;190;0;0;0;0;1
Tue Apr 13 18:57:52 2021;1.5;0;99.9996;-0.119477;-0.658426;36.9;38.3;94.9944;7.85579;0;190;0.156607;0;0;0;0;0;0;0;1720;37;40;7;0;0;100;0;0;0;5.70543;0;1;190;0;0;0;0;1
Tue Apr 13 19:27:52 2021;2;0;100.019;-0.129457;-0.664023;37;38.6;98.1647;7.93815;0;190;0.159174;0;0;0;0;0;0;0;2320.04;37;40;7;0;0;100;0;0;0;4.84834;0;1;190;0;0;0;0;1
Tue Apr 13 19:57:52 2021;2.5;0;99.9696;-0.12331;-0.643786;37;38.7;100.617;8.00481;0;190;0.159877;0;0;0;0;0;0;0;2920.02;37;40;7;0;0;100;0;0;0;5.65824;0;1;190;0;0;0;0;1
Tue Apr 13 20:27:52 2021;3;0;99.9983;-0.0891552;-0.67196;37;38.8;102.299;8.05973;0;190;0.156707;0;0;0;0;0;0;0;3519.98;37;40;7;0;0;100;0;0;0;5.95575;0;1;190;0;0;0;0;1
Tue Apr 13 20:57:52 2021;3.5;0;99.9925;-0.0860842;-0.641416;37;38.9;103.485;8.10476;0;190;0.148028;0;0;0;0;0;0;0;4119.95;37;40;7;0;0;100;0;0;0;5.81436;0;1;190;0;0;0;0;1
Tue Apr 13 21:27:52 2021;4;0;99.9814;-0.111131;-0.670327;37;38.8;103.321;8.14394;0;190;0.134844;0;0;0;0;0;0;0;4719.93;37;40;7;0;0;100;0;0;0;6.00184;0;1;190;0;0;0;0;1
Tue Apr 13 21:57:52 2021;4.5;0;99.9374;-0.0898834;-0.668029;37;38.8;103.259;8.17627;0;190;0.125885;0;0;0;0;0;0;0;5319.91;37;40;7;0;0;100;0;0;0;5.94487;0;1;190;0;0;0;0;1
Tue Apr 13 22:27:52 2021;5;0;99.9975;-0.101327;-0.664727;37;38.9;103.247;8.2049;0;190;0.125843;0;0;0;0;0;0;0;5919.9;37;40;7;0;0;100;0;0;0;5.89157;0;1;190;0;0;0;0;1
Tue Apr 13 22:57:52 2021;5.5;0;99.9839;-0.0908479;-0.662436;37;38.8;102.86;8.23072;0;190;0.124823;0;0;0;0;0;0;0;6519.88;37;40;7;0;0;100;0;0;0;5.94188;0;1;190;0;0;0;0;1
Tue Apr 13 23:27:52 2021;6;0;99.9936;-0.107155;-0.646415;37;38.8;102.51;8.25266;0;190;0.124874;0;0;0;0;0;0;0;7119.92;37;40;7;0;0;100;0;0;0;5.92343;0;1;190;0;0;0;0;1
Tue Apr 13 23:57:52 2021;6.5;0;99.9841;-0.103654;-0.668092;37;38.8;101.986;8.27342;0;190;0.125568;0;0;0;0;0;0;0;7719.91;37;40;7;0;0;100;0;0;0;5.96961;0;1;190;0;0;0;0;1
Wed Apr 14 00:27:52 2021;7;0;100.009;-0.0734556;-0.66703;37;38.9;101.805;8.29226;0;190;0.126651;0;0;0;0;0;0;0;8319.89;37;40;7;0;0;100;0;0;0;5.98602;0;1;190;0;0;0;0;1
Wed Apr 14 00:57:52 2021;7.5;0;99.9597;-0.138015;-0.663396;37;38.8;101.096;8.31036;0;190;0.126892;0;0;0;0;0;0;0;8919.87;37;40;7;0;0;100;0;0;0;5.97898;0;1;190;0;0;0;0;1
Wed Apr 14 01:27:52 2021;8;0;100.018;-0.105495;-0.681058;37;38.8;100.809;8.32559;0;190;0.127794;0;0;0;0;0;0;0;9519.85;37;40;7;0;0;100;0;0;0;5.97823;0;1;190;0;0;0;0;1
Wed Apr 14 01:57:52 2021;8.5;0;100.006;-0.118149;-0.666653;37;38.9;100.512;8.34025;0;190;0.128657;0;0;0;0;0;0;0;10119.8;37;40;7;0;0;100;0;0;0;5.88707;0;1;190;0;0;0;0;1
Wed Apr 14 02:27:52 2021;9;0;100.039;-0.120062;-0.687204;37;38.9;100.246;8.35347;0;190;0.128994;0;0;0;0;0;0;0;10719.8;37;40;7;0;0;100;0;0;0;5.85372;0;1;190;0;0;0;0;1
Wed Apr 14 02:57:52 2021;9.5;0;100.003;-0.113972;-0.669629;37;38.9;100.026;8.36596;0;190;0.132107;0;0;0;0;0;0;0;11319.8;37;40;7;0;0;100;0;0;0;5.88745;0;1;190;0;0;0;0;1
Wed Apr 14 03:27:52 2021;10;0;100.025;-0.0795125;-0.680335;37;38.8;99.599;8.37701;0;190;0.133324;0;0;0;0;0;0;0;11919.8;37;40;7;0;0;100;0;0;0;5.96099;0;1;190;0;0;0;0;1
Wed Apr 14 03:57:52 2021;10.5;0;100.007;-0.0863039;-0.663698;37;38.8;100.032;8.38753;0;190;0.134115;0;0;0;0;0;0;0;12519.8;37;40;7;0;0;100;0;0;0;6.09779;0;1;190;0;0;0;0;1
Wed Apr 14 04:27:52 2021;11;0;99.9838;-0.060381;-0.64588;37;38.8;99.9366;8.39721;0;190;0.133345;0;0;0;0;0;0;0;13119.7;37;40;7;0;0;100;0;0;0;6.14359;0;1;190;0;0;0;0;1
Wed Apr 14 04:57:52 2021;11.5;0;100.02;-0.0688933;-0.64258;37;38.8;99.8269;8.40654;0;190;0.132583;0;0;0;0;0;0;0;13719.7;37;40;7;0;0;100;0;0;0;6.00109;0;1;190;0;0;0;0;1
Wed Apr 14 05:27:52 2021;12;0;99.9428;-0.0933635;-0.65896;37;38.9;100.487;8.41514;0;190;0.132523;0;0;0;0;0;0;0;14319.7;37;40;7;0;0;100;0;0;0;5.85184;0;1;190;0;0;0;0;1
Wed Apr 14 05:57:52 2021;12.5;0;99.9322;-0.127217;-0.641723;37;38.8;100.625;8.42265;0;190;0.133291;0;0;0;0;0;0;0;14919.7;37;40;7;0;0;100;0;0;0;6.08213;0;1;190;0;0;0;0;1
Wed Apr 14 06:27:52 2021;13;0;100.03;-0.116919;-0.658253;37;38.9;100.805;8.4298;0;190;0.132377;0;0;0;0;0;0;0;15519.7;37;40;7;0;0;100;0;0;0;5.9223;0;1;190;0;0;0;0;1
Wed Apr 14 06:57:52 2021;13.5;0;99.9918;-0.135393;-0.64957;37;38.9;100.729;8.43697;0;190;0.133663;0;0;0;0;0;0;0;16119.7;37;40;7;0;0;100;0;0;0;5.89457;0;1;190;0;0;0;0;1
Wed Apr 14 07:27:52 2021;14;0;99.981;-0.104807;-0.663334;37;38.9;100.765;8.44355;0;190;0.128498;0;0;0;0;0;0;0;16719.7;37;40;7;0;0;100;0;0;0;5.89007;0;1;190;0;0;0;0;1
Wed Apr 14 07:57:52 2021;14.5;0;100.002;-0.119703;-0.640064;37;38.8;100.899;8.44969;0;190;0.129589;0;0;0;0;0;0;0;17319.6;37;40;7;0;0;100;0;0;0;5.87695;0;1;190;0;0;0;0;1
Wed Apr 14 08:27:52 2021;15;0;99.9829;-0.131131;-0.661783;37;38.8;100.976;8.45605;0;190;0.129756;0;0;0;0;0;0;0;17919.6;37;40;7;0;0;100;0;0;0;5.99734;0;1;190;0;0;0;0;1
