Date,Day,Cell type,Temp (°C),CO₂ (%),Shaking speed (rpm),VCD (x10⁶cells/mL),Cell viability (%),Working Volume (mL),Passage,FBS conc.,Comments
2021-03-29,0,CHO-K1,37,5,130,.,100,30,1,0,adherent → suspension
2021-03-30,1,CHO-K1,37,5,130,0.31,58,30,1,0,
2021-03-31,2,CHO-K1,37,5,130,0.06,6,30,1,0,
2021-04-01,3,CHO-K1,37,5,130,0.01,2,30,1,0,Cell death
2021-04-01,0,CHO-K1,37,5,130,,100,30,1,0,adherent → suspension (anti clumping reagent)
2021-04-02,1,CHO-K1,37,5,90,0.02,57,50,1,0,
2021-04-05,4,CHO-K1,37,5,90,0,0,50,1,0,Cell death
2021-04-09,0,CHO-K1,37,5,90,0.5,93,30,1,1.25,
2021-04-12,3,CHO-K1,37,5,90,0.55,78,30,1,1.25,
2021-04-12,3,CHO-K1,37,5,90,0.55,78,30,2,1.5,Cell culture (anti clumping reagent)
2021-03-29,0,CHO-K1,37,5,130,.,100,30,1,2.5,adherent → suspension
2021-03-30,1,CHO-K1,37,5,130,0.32,61,30,1,2.5,
2021-03-31,2,CHO-K1,37,5,130,0.31,60,30,1,2.5,
2021-04-01,3,CHO-K1,37,5,130,0.29,56,30,1,2.5,Cell death
2021-04-01,3,CHO-K1,37,5,130,0.29,56,30,1,2.5,adherent → suspension (anti clumping reagent)
2021-04-02,6,CHO-K1,37,5,90,0.13,76,50,1,2.5,
2021-04-05,9,CHO-K1,37,5,90,0.25,93,50,3,2.5,
2021-04-05,9,CHO-K1,37,5,90,0.25,93,50,3,2.5,Cell culture (trypsin & anti clumping reagent)
2021-04-07,11,CHO-K1,37,5,90,0.2,85,30,5,2.5,
2021-04-07,11,CHO-K1,37,5,90,0.2,85,30,6,2.5,Cell culture (anti clumping reagent)
2021-04-09,13,CHO-K1,37,5,90,0.19,89,30,6,2.5,
2021-04-09,13,CHO-K1,37,5,90,0.19,89,30,7,2.5,Cell culture (anti clumping reagent)
2021-03-29,0,CHO-K1,37,5,130,.,100,30,1,5,
2021-03-30,1,CHO-K1,37,5,130,0.62,83,30,1,5,
2021-03-31,2,CHO-K1,37,5,130,0.37,84,30,1,5,
2021-04-01,3,CHO-K1,37,5,130,0.31,68,30,2,5,
2021-04-01,3,CHO-K1,37,5,130,0.31,68,30,2,5,
2021-04-02,6,CHO-K1,37,5,90,0.25,98,50,3,5,
2021-04-05,9,CHO-K1,37,5,90,0.48,91,50,3,5,
2021-04-05,9,CHO-K1,37,5,90,0.48,91,50,3,5,Cell culture (trypsin & anti clumping reagent)
2021-04-07,11,CHO-K1,37,5,90,0.49,93,50,3,5,
2021-04-07,11,CHO-K1,37,5,90,0.49,93,30,4,5,Cell culture (anti clumping reagent)
2021-04-09,13,CHO-K1,37,5,90,0.66,98,30,4,5,
2021-04-09,13,CHO-K1,37,5,90,0.66,98,30,4,5,Cell culture (anti clumping reagent)
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
