Date,Day,Cell type,Temp (°C),CO₂ (%),Shaking speed (rpm),VCD (x10⁶cells/mL),Cell viability (%),Working Volume (mL),Passage,FBS conc.
2021-03-23,0,HEK293,37,5,130,0.35,98,30,0,0
2021-03-25,2,HEK293,37,5,130,0.43,95,30,0,0
2021-03-26,3,HEK293,37,5,130,0.57,85,30,0,0
2021-03-26,3,HEK293,37,5,130,0.57,85,30,1,0
2021-03-29,6,HEK293,37,5,130,0.13,39,30,1,0
2021-03-29,6,HEK293,37,5,130,0.13,39,50,2,0
2021-03-30,7,HEK293,37,5,130,0.2,92,50,2,0
2021-03-31,8,HEK293,37,5,130,0.13,79,50,2,0
2021-04-01,9,HEK293,37,5,130,0.3,86,50,2,0
2021-04-01,9,HEK293,37,5,130,0.3,86,30,3,0
2021-04-02,10,HEK293,37,5,90,0.29,93,30,3,0
2021-04-05,13,HEK293,37,5,90,0.16,45,30,3,0
2021-04-05,13,HEK293,37,5,90,0.16,45,30,4,0
2021-04-07,15,HEK293,37,5,90,0.09,37,30,4,0
2021-04-07,15,HEK293,37,5,90,0.09,37,30,4,0
2021-04-09,17,HEK293,37,5,90,0.18,89,30,4,0
2021-04-09,17,HEK293,37,5,90,0.18,89,30,5,0
2021-04-12,20,HEK293,37,5,90,0.14,72,30,5,0
2021-03-23,0,HEK293,37,5,130,0.35,98,30,0,2.5
2021-03-25,2,HEK293,37,5,130,0.29,98,30,0,2.5
2021-03-26,3,HEK293,37,5,130,0.12,69,30,0,2.5
2021-03-26,3,HEK293,37,5,130,0.12,69,30,1,2.5
2021-03-29,6,HEK293,37,5,130,0.12,49,30,1,2.5
2021-03-29,6,HEK293,37,5,130,0.12,49,50,2,2.5
2021-03-30,7,HEK293,37,5,130,0.67,85,50,2,2.5
2021-03-31,8,HEK293,37,5,130,0.49,79,50,2,2.5
2021-04-01,9,HEK293,37,5,130,1.35,81,50,2,2.5
2021-04-01,9,HEK293,37,5,130,0.4,81,30,3,2.5
2021-04-02,10,HEK293,37,5,90,0.73,97,30,3,2.5
2021-04-05,13,HEK293,37,5,90,0.56,83,30,3,2.5
2021-04-05,13,HEK293,37,5,90,0.56,83,30,4,2.5
2021-04-07,15,HEK293,37,5,90,0.97,74,30,4,2.5
2021-04-07,15,HEK293,37,5,90,0.5,95,30,5,1.5
2021-04-09,17,HEK293,37,5,90,1.95,99,30,5,1.5
2021-04-09,17,HEK293,37,5,90,0.5,99,30,6,1.5
2021-04-12,20,HEK293,37,5,90,2.63,98,30,6,1.5
2021-04-12,20,HEK293,37,5,90,0.5,98,30,7,0
2021-04-15,23,HEK293,37,5,130,1.23,95,30,7,0
2021-04-15,23,HEK293,37,5,130,0.4,95,120,8,0
2021-04-19,27,HEK293,37,5,130,0.358,79,120,8,0
2021-04-19,27,HEK293,37,5,130,0.358,79,120,9,0
2021-04-21,29,HEK293,37,5,130,0.211,65,120,9,0
