No.,Name,scFv,Titer (g/L),Purification_yield(%),Amonut(mg),SE-HPLC_Purity(%),Tm_value,VEGFA_binding_affinity(log10 fold),PlGF_binding_affinity(fold),PD_1_binding(fold),PD_L1_binding(fold)
1,H-12C6,A167,0.431,34.522222,3.92,75.77,61.35,-0.712649702,1.379901961,,0.817073171
2,H-12C7,A167,0.271,34.143624,2.64,78.75,58.61,-1.600972896,2.003558719,,0.757062147
3,H-12C8,A167,0.572,24.04944,4.12,77.45,62.42,-0.653212514,1.262331839,,0.761363636
4,H-12C9,A167,0.262,37.393164,2.45,78.5,59.17,-0.764922985,1.908474576,,0.572649573
5,H-12C10,A236,0.359,45.813781,4.08,72.86,66.86,-0.773054693,0.989455185,0.816326531,
6,H-12C11,A236,0.352,36.002746,3.74,66.89,67.09,-1.103803721,0.818313953,0.736196319,
7,H-12C12,A236,0.25,44.438316,2.94,75.62,67.87,-1.478566496,1.864238411,0.902255639,
8,H-12C13,A236,0.141,49.670149,1.71,84.57,66.98,-1.695481676,1.034926471,1.016949153,
9,H-12C14,KL001,0.072,17.549056,0.21,90.49,,-1.7084209,2.124528302,,0.767891683
10,H-12C15,KL001,0.48,31.729432,3.39,87.44,,-1.559906625,1.787301587,,0.717902351
11,H-12C16,KL001,0.082,8.94282,0.08,89.95,,-2.021189299,1.622478386,,0.864923747
12,H-12C17,KL001,0.488,33.615057,2.95,97.79,,-1.631443769,1.411027569,,0.623233909
13,H-12C18,A167,0.263,50.849256,3.82,98.84,64.76,,,,1
14,H-12C19,A236,0.494,31.885692,1.81,99.47,66.61,,,1,
15,H-12C20,KL001,0.245,32.530044,3.27,95.92,,,,,1
16,H-12C21,A167,0.116,50.05987,0.66,95.28,,-1.971739591,1.175365344,,0.817073171
17,H-12C22,A236,0.199,36.950816,0.98,90.95,,-1.780317312,0.870170015,0.882352941,
18,H-12C23,KL001,0.11,51.937465,0.63,93.61,,-0.641474111,1.110453649,,0.717902351
