take,generation,normal_cell_number,mutant_cell_number,mutant_ratio
1,1,988,12,0.012
1,2,974,15,0.015166835187057633
1,3,961,21,0.021384928716904276
1,4,946,24,0.024742268041237112
1,5,977,18,0.018090452261306532
1,6,985,14,0.014014014014014014
1,7,1021,16,0.015429122468659595
1,8,1036,14,0.013333333333333334
1,9,1038,17,0.016113744075829384
1,10,1047,14,0.013195098963242224
1,11,1058,10,0.009363295880149813
1,12,1060,10,0.009345794392523364
1,13,1038,15,0.014245014245014245
1,14,1020,17,0.01639344262295082
1,15,1043,17,0.016037735849056604
1,16,1053,16,0.014967259120673527
1,17,1058,11,0.01028999064546305
1,18,1043,13,0.01231060606060606
1,19,1060,16,0.01486988847583643
1,20,1051,11,0.010357815442561206
1,21,1065,10,0.009302325581395349
1,22,1063,8,0.007469654528478058
1,23,1063,7,0.0065420560747663555
1,24,1072,4,0.0037174721189591076
1,25,1094,5,0.004549590536851683
1,26,1102,6,0.005415162454873646
1,27,1120,8,0.0070921985815602835
1,28,1096,9,0.008144796380090498
1,29,1105,9,0.00807899461400359
1,30,1091,10,0.009082652134423252
1,31,1139,9,0.0078397212543554
1,32,1158,9,0.007712082262210797
1,33,1185,7,0.00587248322147651
1,34,1248,6,0.004784688995215311
1,35,1247,5,0.003993610223642172
1,36,1222,8,0.0065040650406504065
1,37,1251,9,0.007142857142857143
1,38,1212,9,0.007371007371007371
1,39,1220,8,0.006514657980456026
1,40,1216,7,0.005723630417007359
1,41,1212,6,0.0049261083743842365
1,42,1204,5,0.0041356492969396195
1,43,1209,7,0.005756578947368421
1,44,1231,7,0.005654281098546042
1,45,1254,7,0.0055511498810467885
1,46,1236,9,0.007228915662650603
1,47,1222,9,0.007311129163281885
1,48,1223,10,0.008110300081103
1,49,1191,7,0.005843071786310518
1,50,1187,6,0.005029337803855826
1,51,1180,7,0.005897219882055603
1,52,1207,7,0.005766062602965404
1,53,1200,7,0.00579950289975145
1,54,1219,8,0.006519967400162999
1,55,1181,12,0.010058675607711651
1,56,1177,8,0.006751054852320675
1,57,1194,6,0.005
1,58,1230,4,0.0032414910858995136
1,59,1241,5,0.0040128410914927765
1,60,1217,7,0.005718954248366013
1,61,1191,5,0.004180602006688963
1,62,1179,5,0.004222972972972973
1,63,1190,3,0.002514668901927913
1,64,1221,4,0.0032653061224489797
1,65,1234,4,0.0032310177705977385
1,66,1212,4,0.003289473684210526
1,67,1221,4,0.0032653061224489797
1,68,1241,3,0.002411575562700965
1,69,1248,2,0.0016
1,70,1246,4,0.0032
1,71,1250,3,0.0023942537909018356
1,72,1222,3,0.0024489795918367346
1,73,1224,3,0.0024449877750611247
