take,generation,normal_cell_number,mutant_cell_number,mutant_ratio
1,1,985,15,0.015
1,2,1001,13,0.01282051282051282
1,3,966,15,0.01529051987767584
1,4,983,15,0.01503006012024048
1,5,964,13,0.01330603889457523
1,6,985,13,0.013026052104208416
1,7,1008,12,0.011764705882352941
1,8,991,13,0.012948207171314742
1,9,984,13,0.013039117352056168
1,10,989,9,0.009018036072144289
1,11,989,16,0.015920398009950248
1,12,968,19,0.019250253292806486
1,13,944,20,0.02074688796680498
1,14,965,24,0.024266936299292215
1,15,981,34,0.033497536945812804
1,16,982,44,0.042884990253411304
1,17,1006,35,0.03362151777137368
1,18,975,30,0.029850746268656716
1,19,992,25,0.024582104228121928
1,20,1034,22,0.020833333333333332
1,21,1032,15,0.014326647564469915
1,22,1013,10,0.009775171065493646
1,23,1018,5,0.004887585532746823
1,24,1005,4,0.003964321110009911
1,25,1017,6,0.005865102639296188
1,26,1021,2,0.0019550342130987292
1,27,1023,3,0.0029239766081871343
1,28,1066,5,0.004668534080298786
1,29,1090,7,0.006381039197812215
1,30,1083,10,0.009149130832570906
1,31,1071,10,0.009250693802035153
1,32,1055,11,0.010318949343339587
1,33,1058,9,0.008434864104967198
1,34,1114,10,0.008896797153024912
1,35,1114,11,0.009777777777777778
1,36,1056,11,0.010309278350515464
1,37,1060,10,0.009345794392523364
1,38,1068,9,0.008356545961002786
1,39,1082,8,0.007339449541284404
1,40,1032,4,0.003861003861003861
1,41,1063,6,0.005612722170252572
1,42,1074,7,0.0064754856614246065
1,43,1065,5,0.004672897196261682
1,44,1053,4,0.003784295175023652
1,45,1047,4,0.003805899143672693
1,46,988,5,0.005035246727089627
1,47,991,8,0.008008008008008008
1,48,982,8,0.00808080808080808
1,49,1008,7,0.006896551724137931
1,50,980,8,0.008097165991902834
1,51,924,10,0.010706638115631691
1,52,921,10,0.010741138560687433
1,53,911,10,0.010857763300760043
1,54,884,13,0.014492753623188406
1,55,902,15,0.016357688113413305
1,56,901,15,0.016375545851528384
1,57,878,18,0.020089285714285716
1,58,915,17,0.018240343347639486
1,59,923,17,0.018085106382978722
1,60,935,15,0.015789473684210527
1,61,925,18,0.019088016967126194
1,62,961,20,0.020387359836901122
1,63,967,16,0.01627670396744659
1,64,956,16,0.01646090534979424
1,65,932,16,0.016877637130801686
1,66,924,22,0.023255813953488372
1,67,904,16,0.017391304347826087
1,68,902,20,0.021691973969631236
1,69,885,17,0.018847006651884702
1,70,885,17,0.018847006651884702
1,71,897,18,0.019672131147540985
1,72,883,12,0.013407821229050279
1,73,867,18,0.020338983050847456
1,74,856,20,0.0228310502283105
1,75,845,25,0.028735632183908046
1,76,866,24,0.02696629213483146
1,77,851,27,0.030751708428246014
1,78,856,18,0.020594965675057208
1,79,830,14,0.016587677725118485
1,80,859,13,0.014908256880733946
1,81,829,14,0.0166073546856465
1,82,804,12,0.014705882352941176
1,83,813,9,0.010948905109489052
1,84,794,9,0.0112079701120797
1,85,810,3,0.0036900369003690036
1,86,792,2,0.0025188916876574307
1,87,804,3,0.0037174721189591076
1,88,807,5,0.006157635467980296
1,89,843,4,0.004722550177095631
1,90,838,1,0.0011918951132300357
1,91,848,2,0.002352941176470588
1,92,850,2,0.002347417840375587
1,93,865,2,0.002306805074971165
1,94,846,0,0.0
2,1,991,9,0.009
2,2,1002,8,0.007920792079207921
2,3,999,10,0.009910802775024777
2,4,1017,9,0.008771929824561403
2,5,1016,9,0.00878048780487805
2,6,980,8,0.008097165991902834
2,7,977,8,0.008121827411167513
2,8,950,8,0.008350730688935281
2,9,919,7,0.00755939524838013
2,10,922,8,0.008602150537634409
2,11,932,7,0.007454739084132056
2,12,900,6,0.006622516556291391
2,13,918,7,0.0075675675675675675
2,14,901,7,0.007709251101321586
2,15,903,5,0.005506607929515419
2,16,912,3,0.003278688524590164
2,17,920,2,0.0021691973969631237
2,18,918,2,0.002173913043478261
2,19,917,2,0.002176278563656148
2,20,911,2,0.002190580503833516
2,21,948,1,0.001053740779768177
2,22,932,2,0.0021413276231263384
2,23,937,1,0.0010660980810234541
2,24,933,0,0.0
3,1,989,11,0.011
3,2,973,13,0.013184584178498986
3,3,1008,11,0.010794896957801767
3,4,1008,10,0.009823182711198428
3,5,989,15,0.014940239043824702
3,6,993,16,0.015857284440039643
3,7,1012,15,0.014605647517039922
3,8,987,10,0.010030090270812437
