Module,1st Review,2ed Review,Finalize
3.2.S.1.1 Nomenclature,100,100,0
3.2.S.1.2 Structure,0,0,0
3.2.S.1.3 General Properties,0,0,0
3.2.S.2.1 Manufacturer(s),100,100,0
3.2.S.2.2 Description of Manufacturing Process and Process Controls,0,0,0
3.2.S.2.3 Control of Materials,0,0,0
3.2.S.2.4 Control of Critical Steps and Intermediates,0,0,0
3.2.S.2.6 Manufacturing Process Development,0,0,0
3.2.S.3.1 Elucidation of Structure and other Characteristics,0,0,0
3.2.S.3.2 Impurities,0,0,0
3.2.S.4.1 Specification,50,0,0
3.2.S.4.2 Analytical Procedures,50,0,0
3.2.S.4.3 Validation of Analytical Procedures,50,0,0
3.2.S.4.4 Batch Analyses,50,0,0
3.2.S.4.5 Justification of Specification,100,100,0
3.2.S.5 Reference Standards or Materials,0,0,0
3.2.S.6 Container Closure System,100,100,0
3.2.S.7.1 Stability Summary and Conclusions,50,0,0
3.2.S.7.2 Postapproval Stability Protocol and Stability Commitment,0,0,0
3.2.S.7.3 Stability Data,0,0,0
3.2.P.1 Description and Composition of the Investigational Medicinal Product,100,100,0
3.2.P.2.1 Components of Drug product,0,0,0
3.2.P.2.2 Drug product,0,0,0
3.2.P.2.3 Manufacturing Process Development,100,100,0
3.2.P.2.4 Container closure system,0,0,0
3.2.P.2.5 Microbilogical Attributes,0,0,0
3.2.P.2.6 Compatibility,0,0,0
3.2.P.3.1 Manufacturer(s),100,100,0
3.2.P.3.2 Batch Formula,100,100,0
3.2.P.3.3 Description of Manufacturing Process and Process Controls,0,0,0
3.2.P.3.4 Control of Critical Steps and Intermediates,100,100,0
3.2.P.4.1 Specification,100,100,0
3.2.P.4.2 Analytical Procedures,100,100,0
3.2.P.4.3 Validation of Analytical Procedures,100,100,0
3.2.P.4.4 Justification of Specification,100,100,0
3.2.P.4.5 Excipients of Human or Animal Origin,100,100,0
3.2.P.4.6 Novel Excipients,100,100,0
3.2.P.5.1 Specification,50,0,0
3.2.P.5.2 Analytical Procedures,50,0,0
3.2.P.5.3 Validation of Analytical Procedures,50,0,0
3.2.P.5.4 Batch Analyses,0,0,0
3.2.P.5.5 Characterisation of Impurities,0,0,0
3.2.P.5.6 Justification of Specification,0,0,0
3.2.P.6 Reference Standards or Materials,100,100,0
3.2.P.7 Container Closure System,100,100,0
3.2.P.8.1 Stability Summary and Conclusion,50,0,0
3.2.P.8.2 Postapproval Stability Protocol and Stability Commitment,50,0,0
3.2.P.8.3 Stability Data,50,0,0
3.2.A.1 Facilities And Equipment,0,0,0
3.2.A.2 Adventitious Agents Safety Evaluation,0,0,0
