Grade,Product type,StorageTemp,TimePoint(months),SE-HPLC(monomer%),Potency(%)
NonGMP,DS,(-70±10),0,99.16,108
NonGMP,DS,(-70±10),1,99.16,100
NonGMP,DS,(-70±10),3,99.06,104
NonGMP,DS,(-70±10),6,99.03,96
NonGMP,DS,(-70±10),9,,
NonGMP,DS,(-70±10),12,,
NonGMP,DS,(-70±10),18,,
NonGMP,DS,(-70±10),24,,
NonGMP,DS,(5±3),0,99.16,107.7
NonGMP,DS,(5±3),1,99.16,102.5
NonGMP,DS,(5±3),3,99.06,99.1
NonGMP,DS,(5±3),6,99.03,93.1
NonGMP,DP,(5±3),0,99.18,99
NonGMP,DP,(5±3),1,99.15,111
NonGMP,DP,(5±3),2,98.85,99
NonGMP,DP,(5±3),3,99.02,105
NonGMP,DP,(5±3),6,98.97,104
NonGMP,DP,(5±3),9,,
NonGMP,DP,(5±3),12,,
NonGMP,DP,(25±2),0,99.18,98.9
NonGMP,DP,(25±2),1,99.09,104.5
NonGMP,DP,(25±2),2,97.39,77.2
NonGMP,DP,(25±2),3,96.82,81.2
NonGMP,DP,(25±2),6,94.8,72.2
GMP,DS,(-70±10),0,99,103
GMP,DS,(-70±10),1,99,105
GMP,DS,(-70±10),3,,
GMP,DS,(-70±10),6,,
GMP,DS,(-70±10),9,,
GMP,DS,(-70±10),12,,
GMP,DS,(-70±10),18,,
GMP,DS,(-70±10),24,,
GMP,DS,(5±3),0,99,103
GMP,DS,(5±3),1,99,110
GMP,DS,(5±3),3,,
GMP,DS,(5±3),6,,
GMP,DS,(25±2),0,99,103
GMP,DS,(25±2),1,97,92
GMP,DS,(25±2),2,96,91
GMP,DS,(25±2),3,,
GMP,DP,(5±3),0,99,110
GMP,DP,(5±3),1,98,97
GMP,DP,(5±3),3,,
GMP,DP,(5±3),6,,
GMP,DP,(5±3),9,,
GMP,DP,(5±3),12,,
GMP,DP,(5±3),18,,
GMP,DP,(5±3),24,,
GMP,DP,(25±2),0,99,110
GMP,DP,(25±2),1,97,91
GMP,DP,(25±2),3,,
GMP,DP,(25±2),6,,
GMP,DP,(40±2),0,99,110
GMP,DP,(40±2),1,86,33
GMP,DP,(40±2),2,,
GMP,DP,(40±2),3,,
