Drug Name,Generic Name,Brand Name,Company Name,Therapy Area,Indication,Development Stage,Drug Geography
lenalidomide,lenalidomide,Revlimid,Celgene Switzerland LLC,Oncology, Mantle Cell Lymphoma; Multiple Myeloma (Kahler Disease); Myelodysplastic Syndrome,Marketed,Switzerland
lenalidomide,lenalidomide,Revlimid,Celgene BVBA,Oncology, Mantle Cell Lymphoma; Multiple Myeloma (Kahler Disease); Myelodysplastic Syndrome,Marketed,Belgium
lenalidomide,lenalidomide,Revlimid,Celgene Corp,Oncology, Extranodal Marginal Zone B-Cell Lymphoma (Mucosa-Associated Lymphoid Tissue or MALT-Lymphoma); Follicular Lymphoma; Mantle Cell Lymphoma; Marginal Zone B-cell Lymphoma; Nodal Marginal Zone B-Cell Lymphoma; Splenic Marginal Zone B-Cell Lymphoma,Marketed,United States
lenalidomide,lenalidomide,Revlimid,Celgene Pty Ltd,Oncology, Mantle Cell Lymphoma; Multiple Myeloma (Kahler Disease); Myelodysplastic Syndrome; Refractory Multiple Myeloma; Relapsed Multiple Myeloma,Marketed,Australia
lenalidomide,lenalidomide,Revlimid,Neopharm Ltd,Oncology, Multiple Myeloma (Kahler Disease); Myelodysplastic Syndrome,Marketed,Israel
lenalidomide,lenalidomide,Revlimid,Celgene International Sarl,Oncology, Mantle Cell Lymphoma; Multiple Myeloma (Kahler Disease); Myelodysplastic Syndrome; Refractory Multiple Myeloma; Relapsed Multiple Myeloma,Marketed,EU; France
lenalidomide,lenalidomide,Revlimid,Celgene Inc,Oncology, Multiple Myeloma (Kahler Disease); Myelodysplastic Syndrome; Relapsed Multiple Myeloma,Marketed,Canada
lenalidomide,lenalidomide,Revlimid,BeiGene (Beijing) Co Ltd,Oncology, Multiple Myeloma (Kahler Disease),Marketed,China
lenalidomide,lenalidomide,Revlimid,Celgene GmbH,Oncology, Mantle Cell Lymphoma; Multiple Myeloma (Kahler Disease); Myelodysplastic Syndrome; Refractory Multiple Myeloma; Relapsed Multiple Myeloma,Marketed,Germany
lenalidomide,lenalidomide,Revlimid,Celgene Srl,Oncology, Mantle Cell Lymphoma; Multiple Myeloma (Kahler Disease); Myelodysplastic Syndrome; Refractory Multiple Myeloma; Relapsed Multiple Myeloma,Marketed,Italy
lenalidomide,lenalidomide,Lenalidomide,Bristol-Myers Squibb SA,Oncology, Follicular Lymphoma; Mantle Cell Lymphoma; Multiple Myeloma (Kahler Disease); Myelodysplastic Syndrome,Marketed,Switzerland
lenalidomide,lenalidomide,Revlimid,Celgene New Zealand Ltd,Oncology, Multiple Myeloma (Kahler Disease); Myelodysplastic Syndrome,Marketed,New Zealand
lenalidomide,lenalidomide,Revlimid,Key Oncologics (Pty) Ltd,Oncology, Multiple Myeloma (Kahler Disease); Myelodysplastic Syndrome,Marketed,South Africa
lenalidomide,lenalidomide,Revlimid,Celgene KK,Oncology, Follicular Lymphoma; Marginal Zone B-cell Lymphoma; Multiple Myeloma (Kahler Disease); Myelodysplastic Syndrome; Refractory Multiple Myeloma; Relapsed Multiple Myeloma; T-Cell Leukemia; T-Cell Lymphomas,Marketed,Japan
lenalidomide,lenalidomide,Revlimid,Celgene Corp,Oncology, Refractory Multiple Myeloma,Marketed,Russia; South Korea
lenalidomide,lenalidomide,Revlimid,Celgene Ltd,Oncology, Mantle Cell Lymphoma; Multiple Myeloma (Kahler Disease); Myelodysplastic Syndrome,Marketed,Austria; United Kingdom
lenalidomide,lenalidomide,Revlimid,Celgene SL,Oncology, Mantle Cell Lymphoma; Multiple Myeloma (Kahler Disease); Myelodysplastic Syndrome; Refractory Multiple Myeloma; Relapsed Multiple Myeloma,Marketed,Spain
lenalidomide,lenalidomide,Revlimid,Celgene ApS,Oncology, Mantle Cell Lymphoma; Multiple Myeloma (Kahler Disease); Myelodysplastic Syndrome,Marketed,Denmark
lenalidomide,lenalidomide,Revlimid,Celgene International Sarl,Oncology, Follicular Lymphoma,Marketed,EU
lenalidomide,lenalidomide,Revlimid,Celgene Ltd,Oncology, Relapsed Multiple Myeloma,Marketed,United Kingdom
lenalidomide,lenalidomide,Revlimid,Celgene Pharmaceuticals Brazil Ltda,Oncology, Myelodysplastic Syndrome; Refractory Multiple Myeloma; Relapsed Multiple Myeloma,Marketed,Brazil
lenalidomide,lenalidomide,Revlimid,Celgene Corp,Oncology, Multiple Myeloma (Kahler Disease); Myelodysplastic Syndrome,Marketed,South Korea; United States
lenalidomide,lenalidomide,Revlimid,Celgene Corp,Oncology, Relapsed Multiple Myeloma,Marketed,Russia; South Korea; United States
lenalidomide,lenalidomide,Revlimid,Asofarma De Mexico SA De CV,Oncology, Refractory Multiple Myeloma; Relapsed Multiple Myeloma,Marketed,Mexico
lenalidomide,lenalidomide,Revlimid,Bristol-Myers Squibb Co,Oncology, B-Cell Chronic Lymphocytic Leukemia,Phase III,EU; Global
lenalidomide,lenalidomide,Revlimid,Bristol-Myers Squibb Co,Oncology, B-Cell Non-Hodgkin Lymphoma; Diffuse Large B-Cell Lymphoma; Follicular Lymphoma; Mantle Cell Lymphoma; Refractory Multiple Myeloma; Relapsed Multiple Myeloma,Phase III,Global
lenalidomide,lenalidomide,Revlimid,Bristol-Myers Squibb Co,Oncology, Anaplastic Large Cell Lymphoma (ALCL); Mantle Cell Lymphoma; Multiple Myeloma (Kahler Disease); Peripheral T-Cell Lymphomas (PTCL); Plasma Cell Neoplasm; Primary CNS Lymphoma,Phase II,Global
lenalidomide,lenalidomide,Revlimid,Bristol-Myers Squibb Co,Oncology, T-Cell Leukemia; T-Cell Lymphomas,Phase I,Global
lenalidomide,lenalidomide,,Bristol-Myers Squibb Co,Oncology, Primary CNS Lymphoma; Secondary CNS Lymphoma,Phase I,Global
lenalidomide,lenalidomide,Revlimid,Bristol-Myers Squibb Co,Oncology, Marginal Zone B-cell Lymphoma,Inactive,China; EU
lenalidomide,lenalidomide,,Bristol-Myers Squibb Co,Oncology, Follicular Lymphoma,Inactive,Global; Japan
lenalidomide,lenalidomide,Revlimid,Bristol-Myers Squibb Co,Gastrointestinal, Crohn's Disease (Regional Enteritis),Inactive,Global
lenalidomide,lenalidomide,Revlimid,Bristol-Myers Squibb Co,Oncology, Follicular Lymphoma,Inactive,China
lenalidomide,lenalidomide,Revlimid,Bristol-Myers Squibb Co,Central Nervous System, Cancer Pain; Complex Regional Pain Syndrome (Sympathetic Reflex Dystrophy/Reflex Sympathetic Dystrophy),Inactive,Global
lenalidomide,lenalidomide,,Bristol-Myers Squibb Co,Oncology, Diffuse Large B-Cell Lymphoma,Inactive,Japan
lenalidomide,lenalidomide,,Bristol-Myers Squibb Co,Oncology," Acute Myelocytic Leukemia (AML, Acute Myeloblastic Leukemia); Angioimmunoblastic T-Cell Lymphoma (AITL)/Immunoblastic Lymphadenopathy; Cutaneous T-Cell Lymphoma; Follicular Thyroid Cancer; Marginal Zone B-cell Lymphoma; Metastatic Melanoma; Metastatic Renal Cell Carcinoma; Myelofibrosis; Ovarian Cancer; Papillary Thyroid Cancer; Peripheral T-Cell Lymphomas (PTCL); Peritoneal Cancer; Primary Mediastinal B-Cell Lymphoma; T-Cell Lymphomas",Inactive,Global
lenalidomide,lenalidomide,,Bristol-Myers Squibb Co,Oncology, Myelodysplastic Syndrome,Inactive,Global; United States
lenalidomide,lenalidomide,,Bristol-Myers Squibb Co,Central Nervous System, Radiculopathy,Inactive,Global
lenalidomide,lenalidomide,Revlimid,Bristol-Myers Squibb Co,Immunology, Immunoglobulin G4-Related Disease (IgG4-RD),Inactive,Global
lenalidomide,lenalidomide,Revlimid,Bristol-Myers Squibb Co,Oncology," Acute Myelocytic Leukemia (AML, Acute Myeloblastic Leukemia); Cutaneous T-Cell Lymphoma; Hormone Refractory (Castration Resistant, Androgen-Independent) Prostate Cancer; Non Muscle Invasive Bladder Cancer (NMIBC) (Superficial Bladder Cancer); Non-Small Cell Lung Cancer; Plasma Cell Neoplasm; Refractory Acute Myeloid Leukemia; Relapsed Acute Myeloid Leukemia; Transitional Cell Cancer (Urothelial Cell Cancer); Waldenstrom Macroglobulinemia (Lymphoplasmacytic Lymphoma)",Inactive,Global
lenalidomide,lenalidomide,Revlimid,Bristol-Myers Squibb Co,Oncology, B-Cell Chronic Lymphocytic Leukemia,Inactive,Global; United States
lenalidomide,lenalidomide,Revlimid,Bristol-Myers Squibb Co,Oncology, Diffuse Large B-Cell Lymphoma,Inactive,EU; United States
aflibercept,aflibercept,Eylea,Bayer New Zealand Ltd,Ophthalmology, Choroidal Neovascularization; Macular Edema; Wet (Neovascular / Exudative) Macular Degeneration,Marketed,New Zealand
aflibercept,aflibercept,Eylea,Bayer Plc,Metabolic Disorders, Diabetic Macular Edema,Marketed,United Kingdom
aflibercept,aflibercept,Eylea,Bayer SpA,Ophthalmology, Macular Edema; Wet (Neovascular / Exudative) Macular Degeneration,Marketed,Italy
aflibercept,aflibercept,Eylea,Bayer Zydus Pharma Pvt Ltd,Ophthalmology, Choroidal Neovascularization; Macular Edema; Wet (Neovascular / Exudative) Macular Degeneration,Marketed,India
aflibercept,aflibercept,Eylea,Bayer Healthcare Co Ltd,Ophthalmology, Wet (Neovascular / Exudative) Macular Degeneration,Marketed,China
aflibercept,aflibercept,Eylea,PT. Bayer Indonesia,Ophthalmology, Wet (Neovascular / Exudative) Macular Degeneration,Marketed,Indonesia
aflibercept,aflibercept,Eylea,Regeneron Pharmaceuticals Inc,Ophthalmology, Macular Edema; Wet (Neovascular / Exudative) Macular Degeneration,Marketed,United States
aflibercept,aflibercept,Aflibercept,Bayer Yakuhin Ltd,Ophthalmology, Age Related Macular Degeneration; Choroidal Neovascularization; Macular Edema; Neovascular Glaucoma,Marketed,Japan
aflibercept,aflibercept,Eylea,Bayer (Pty) Ltd,Metabolic Disorders, Diabetic Macular Edema,Marketed,South Africa
aflibercept,aflibercept,Eylea,Bayer Australia Ltd,Metabolic Disorders, Diabetic Macular Edema,Marketed,Australia
aflibercept,aflibercept,Eylea,Bayer Australia Ltd,Ophthalmology, Age Related Macular Degeneration; Choroidal Neovascularization; Macular Edema; Wet (Neovascular / Exudative) Macular Degeneration,Marketed,Australia
aflibercept,aflibercept,Eylea,Bayer Sante SAS,Metabolic Disorders, Diabetic Macular Edema,Marketed,France
aflibercept,aflibercept,Eylea,Bayer Israel Ltd,Ophthalmology, Choroidal Neovascularization; Macular Edema; Wet (Neovascular / Exudative) Macular Degeneration,Marketed,Israel
aflibercept,aflibercept,Eylea,PT. Bayer Indonesia,Metabolic Disorders, Diabetic Macular Edema,Marketed,Indonesia
aflibercept,aflibercept,Eylea,Regeneron Pharmaceuticals Inc,Metabolic Disorders, Diabetic Macular Edema; Diabetic Retinopathy; Non-Proliferative Diabetic Retinopathy (NPDR),Marketed,United States
aflibercept,aflibercept,Eylea,Bayer New Zealand Ltd,Metabolic Disorders, Diabetic Macular Edema,Marketed,New Zealand
aflibercept,aflibercept,Eylea,Bayer Hispania SL,Ophthalmology, Choroidal Neovascularization; Macular Edema; Wet (Neovascular / Exudative) Macular Degeneration,Marketed,Spain
aflibercept,aflibercept,Eylea,Bayer Yakuhin Ltd,Ophthalmology, Choroidal Neovascularization; Macular Edema; Neovascular Glaucoma; Wet (Neovascular / Exudative) Macular Degeneration,Marketed,Japan
aflibercept,aflibercept,Eylea,Bayer Yakuhin Ltd,Metabolic Disorders, Diabetic Macular Edema,Marketed,Japan
aflibercept,aflibercept,Eylea,Bayer Korea Ltd,Ophthalmology, Choroidal Neovascularization; Macular Edema; Wet (Neovascular / Exudative) Macular Degeneration,Marketed,South Korea
aflibercept,aflibercept,Eylea,Bayer AG,Ophthalmology, Choroidal Neovascularization; Macular Edema; Wet (Neovascular / Exudative) Macular Degeneration,Marketed,Austria; Belgium; Denmark; EU; Germany
aflibercept,aflibercept,Eylea,Bayer Healthcare Co Ltd,Metabolic Disorders, Diabetic Macular Edema,Marketed,China
aflibercept,aflibercept,Eylea,JSC Bayer,Metabolic Disorders, Diabetic Macular Edema,Marketed,Russia
aflibercept,aflibercept,Eylea,Bayer (Pty) Ltd,Ophthalmology, Choroidal Neovascularization; Macular Edema; Wet (Neovascular / Exudative) Macular Degeneration,Marketed,South Africa
aflibercept,aflibercept,Eylea,Bayer Inc,Metabolic Disorders, Diabetic Macular Edema,Marketed,Canada
aflibercept,aflibercept,Eylea,Bayer (Schweiz) AG,Metabolic Disorders, Diabetic Macular Edema,Marketed,Switzerland
aflibercept,aflibercept,Eylea,Bayer Sante SAS,Ophthalmology, Choroidal Neovascularization; Macular Edema; Wet (Neovascular / Exudative) Macular Degeneration,Marketed,France
aflibercept,aflibercept,Eylea,Bayer AG,Metabolic Disorders, Diabetic Macular Edema,Marketed,Austria; Belgium; Denmark; EU; Germany
aflibercept,aflibercept,Eylea,Bayer Israel Ltd,Metabolic Disorders, Diabetic Macular Edema,Marketed,Israel
aflibercept,aflibercept,Eylia,Bayer SA (Brazil),Metabolic Disorders, Diabetic Macular Edema,Marketed,Brazil
aflibercept,aflibercept,Eylea,Bayer Plc,Ophthalmology, Choroidal Neovascularization; Macular Edema; Wet (Neovascular / Exudative) Macular Degeneration,Marketed,United Kingdom
aflibercept,aflibercept,Eylea,Bayer (Schweiz) AG,Ophthalmology, Choroidal Neovascularization; Macular Edema; Wet (Neovascular / Exudative) Macular Degeneration,Marketed,Switzerland
aflibercept,aflibercept,Wetlia,Bayer de Mexico SA de CV,Ophthalmology, Choroidal Neovascularization; Macular Edema; Wet (Neovascular / Exudative) Macular Degeneration,Marketed,Mexico
aflibercept,aflibercept,Aflibercept,Bayer Yakuhin Ltd,Metabolic Disorders, Diabetic Macular Edema,Marketed,Japan
aflibercept,aflibercept,Eylea,Bayer Hispania SL,Metabolic Disorders, Diabetic Macular Edema,Marketed,Spain
aflibercept,aflibercept,Eylea,Bayer Inc,Ophthalmology, Choroidal Neovascularization; Macular Edema; Wet (Neovascular / Exudative) Macular Degeneration,Marketed,Canada
aflibercept,aflibercept,Eylea,Bayer Korea Ltd,Metabolic Disorders, Diabetic Macular Edema,Marketed,South Korea
aflibercept,aflibercept,Eylea,Bayer SpA,Metabolic Disorders, Diabetic Macular Edema,Marketed,Italy
aflibercept,aflibercept,Eylea,JSC Bayer,Ophthalmology, Choroidal Neovascularization; Macular Edema; Wet (Neovascular / Exudative) Macular Degeneration,Marketed,Russia
aflibercept,aflibercept,Eylia,Bayer SA (Brazil),Ophthalmology, Choroidal Neovascularization; Macular Edema; Wet (Neovascular / Exudative) Macular Degeneration,Marketed,Brazil
aflibercept,aflibercept,Wetlia,Bayer de Mexico SA de CV,Metabolic Disorders, Diabetic Macular Edema,Marketed,Mexico
