,Date and Time,Trend Age,Inoculation Age,I: Air Act.,I: O2 Act.,I: CO2 Act.,I: TempV,I: TempJ,I: DOamp,I: pH,I: Level 1,I: Stirr Act.,I: Torque,I: Balance1,I: Vol. Pump A1,I: Vol. Pump A2,I: Vol. Pump A3,I: Vol. Pump A4,I: Vol. CO2 Act.,I: Vol. O2 Act.,I: Vol. Air Act.,SP Temperature,SP Oxygen,SP pH,SP Foam,SP Level,O: Air Setp.,O: O2 Setp.,O: CO2 Setp.,O: N2,O: Heat,O: Cool,O: PumpTh,O: Stirr Setp.,O: Pump A1,O: Pump A2,O: Pump A3,O: Pump A4,O: Headspace 
0,2021-03-10 00:00:24,439.7,0,-0.455923,-0.0591033,-0.177096,36.0,33.2,54.6247,8.23971,0,0,0.0,0,4.84182,677.843,0.0,0.0,0.0270559,0.11331,16360.1,37,30,7,0,0,0,0.0,0,0,95.7,0.0,1,0,0.0,0,0,0,0
1,2021-03-10 00:00:54,439.708,0,-0.457699,-0.0513894,-0.180004,35.8,35.4,54.0941,8.24538,0,0,0.0,0,4.84182,677.843,0.0,0.0,0.0270559,0.11331,16360.1,37,30,7,0,0,0,0.0,0,0,92.4,0.0,1,0,0.0,0,0,0,0
2,2021-03-10 00:01:24,439.717,0,-0.435555,-0.0444828,-0.179254,35.5,37.7,53.9244,8.24883,0,0,0.0,0,4.84182,677.843,0.0,0.0,0.0270559,0.11331,16360.1,37,30,7,0,0,0,0.0,0,0,88.95,0.0,1,0,0.0,0,0,0,0
3,2021-03-10 00:01:54,439.725,0,-0.449912,-0.0538579,-0.182292,35.3,39.6,53.7732,8.25047,0,0,0.0,0,4.84182,677.843,0.0,0.0,0.0270559,0.11331,16360.1,37,30,7,0,0,0,0.0,0,0,86.1,0.0,1,0,0.0,0,0,0,0
4,2021-03-10 00:02:24,439.733,0,-0.425298,-0.0573272,-0.180992,35.3,41.5,53.4324,8.25077,0,0,0.0,0,4.84182,677.843,0.0,0.0,0.0270559,0.11331,16360.1,37,30,7,0,0,0,0.0,0,0,83.25,0.0,1,0,0.0,0,0,0,0
5,2021-03-10 00:02:54,439.742,0,-0.428751,-0.0435462,-0.195121,35.3,43.3,53.2495,8.25043,0,0,0.0,0,4.84182,677.843,0.0,0.0,0.0270559,0.11331,16360.1,37,30,7,0,0,0,0.0,0,0,80.55,0.0,1,0,0.0,0,0,0,0
6,2021-03-10 00:03:24,439.75,0,-0.433446,-0.0387804,-0.173499,35.4,44.7,53.0798,8.24808,0,0,0.0,0,4.84182,677.843,0.0,0.0,0.0270559,0.11331,16360.1,37,30,7,0,0,0,0.0,0,0,78.45,0.0,1,0,0.0,0,0,0,0
7,2021-03-10 00:03:54,439.758,0,-0.432181,-0.0625933,-0.158696,35.5,46.5,53.0426,8.2455,0,0,0.0,0,4.84182,677.843,0.0,0.0,0.0270559,0.11331,16360.1,37,30,7,0,0,0,0.0,0,0,75.75,0.0,1,0,0.0,0,0,0,0
8,2021-03-10 00:04:24,439.767,0,-0.418529,-0.077425,-0.178978,35.7,47.9,53.0119,8.24224,0,0,0.0,0,4.84182,677.843,0.0,0.0,0.0270559,0.11331,16360.1,37,30,7,0,0,0,0.0,0,0,73.65,0.0,1,0,0.0,0,0,0,0
9,2021-03-10 00:04:54,439.775,0,-0.437384,-0.0848681,-0.152142,35.9,49.1,53.1344,8.23813,0,0,0.0,0,4.84182,677.843,0.0,0.0,0.0270559,0.11331,16360.1,37,30,7,0,0,0,0.0,0,0,71.85,0.0,1,0,0.0,0,0,0,0
10,2021-03-10 00:05:24,439.783,0,-0.452044,-0.0571889,-0.169439,36.2,50.4,53.389,8.23433,0,0,0.0,0,4.84182,677.843,0.0,0.0,0.0270559,0.11331,16360.1,37,30,7,0,0,0,0.0,0,0,69.9,0.0,1,0,0.0,0,0,0,0
11,2021-03-10 00:05:54,439.792,0,-0.432688,-0.0531723,-0.176993,36.6,51.7,53.5604,8.22933,0,0,0.0,0,4.84182,677.843,0.0,0.0,0.0270559,0.11331,16360.1,37,30,7,0,0,0,0.0,0,0,67.95,0.0,1,0,0.0,0,0,0,0
12,2021-03-10 00:06:24,439.8,0,-0.431542,-0.0811861,-0.17254,37.0,52.9,53.9308,8.22395,0,0,0.0,0,4.84182,677.843,0.0,0.0,0.0270559,0.11331,16360.1,37,30,7,0,0,0,0.0,0,0,0.0,0.0,0,0,0.0,0,0,0,0
13,2021-03-10 00:06:54,439.808,0,-0.453786,-0.0510727,-0.173239,37.5,41.0,54.3378,8.21679,0,0,0.0,0,4.84182,677.843,0.0,0.0,0.0270559,0.11331,16360.1,37,30,7,0,0,0,0.0,0,0,0.0,63.8,1,0,0.0,0,0,0,0
14,2021-03-10 00:07:24,439.817,0,-0.447791,-0.0705428,-0.185096,38.0,37.6,55.0264,8.21014,0,0,0.0,0,4.84182,677.843,0.0,0.0,0.0270559,0.11331,16360.1,37,30,7,0,0,0,0.0,0,0,0.0,60.5,1,0,0.0,0,0,0,0
15,2021-03-10 00:07:54,439.825,0,-0.442029,-0.0690452,-0.173584,38.2,35.1,55.8751,8.20569,0,0,0.0,0,4.84182,677.843,0.0,0.0,0.0270559,0.11331,16360.1,37,30,7,0,0,0,0.0,0,0,0.0,58.0,1,0,0.0,0,0,0,0
16,2021-03-10 00:08:24,439.833,0,-0.455844,-0.0364698,-0.181126,38.3,32.9,56.4546,8.20407,0,0,0.0,0,4.84182,677.843,0.0,0.0,0.0270559,0.11331,16360.1,37,30,7,0,0,0,0.0,0,0,0.0,55.9,1,0,0.0,0,0,0,0
17,2021-03-10 00:08:54,439.842,0,-0.445759,-0.0748733,-0.162926,38.2,31.1,57.1248,8.20398,0,0,0.0,0,4.84182,677.843,0.0,0.0,0.0270559,0.11331,16360.1,37,30,7,0,0,0,0.0,0,0,0.0,54.0,1,0,0.0,0,0,0,0
18,2021-03-10 00:09:24,439.85,0,-0.442928,-0.0620653,-0.170228,38.1,29.5,56.9575,8.20563,0,0,0.0,0,4.84182,677.843,0.0,0.0,0.0270559,0.11331,16360.1,37,30,7,0,0,0,0.0,0,0,0.0,52.5,1,0,0.0,0,0,0,0
19,2021-03-10 00:09:54,439.858,0,-0.438066,-0.0461641,-0.166505,37.9,28.3,56.5159,8.20768,0,0,0.0,0,4.84182,677.843,0.0,0.0,0.0270559,0.11331,16360.1,37,30,7,0,0,0,0.0,0,0,0.0,51.3,1,0,0.0,0,0,0,0
20,2021-03-10 00:10:24,439.867,0,-0.441695,-0.0398273,-0.174661,37.6,27.1,56.2131,8.21083,0,0,0.0,0,4.84182,677.843,0.0,0.0,0.0270559,0.11331,16360.1,37,30,7,0,0,0,0.0,0,0,0.0,50.1,1,0,0.0,0,0,0,0
21,2021-03-10 00:10:54,439.875,0,-0.441172,-0.0530515,-0.182211,37.4,26.3,55.9331,8.21463,0,0,0.0,0,4.84182,677.843,0.0,0.0,0.0270559,0.11331,16360.1,37,30,7,0,0,0,0.0,0,0,0.0,49.2,1,0,0.0,0,0,0,0
22,2021-03-10 00:11:24,439.883,0,-0.437499,-0.0673325,-0.164489,37.1,25.5,55.5884,8.22046,0,0,0.0,0,4.84182,677.843,0.0,0.0,0.0270559,0.11331,16360.1,37,30,7,0,0,0,0.0,0,0,0.0,47.7451,1,0,0.0,0,0,0,0
23,2021-03-10 00:11:54,439.892,0,-0.432843,-0.0529465,-0.178119,36.7,27.2,55.2486,8.22746,0,0,0.0,0,4.84182,677.843,0.0,0.0,0.0270559,0.11331,16360.1,37,30,7,0,0,0,0.0,0,0,100.0,0.0,1,0,0.0,0,0,0,0
24,2021-03-10 00:12:24,439.9,0,-0.395243,-0.0693833,-0.163067,36.4,31.1,54.7338,8.23397,0,0,0.0,0,4.84182,677.843,0.0,0.0,0.0270559,0.11331,16360.1,37,30,7,0,0,0,0.0,0,0,98.85,0.0,1,0,0.0,0,0,0,0
25,2021-03-10 00:12:54,439.908,0,-0.447194,-0.041886,-0.172963,36.0,33.6,54.4387,8.24035,0,0,0.0,0,4.84182,677.843,0.0,0.0,0.0270559,0.11331,16360.1,37,30,7,0,0,0,0.0,0,0,95.1,0.0,1,0,0.0,0,0,0,0
26,2021-03-10 00:13:24,439.917,0,-0.457599,-0.0675518,-0.172804,35.7,36.0,54.0879,8.24513,0,0,0.0,0,4.84182,677.843,0.0,0.0,0.0270559,0.11331,16360.1,37,30,7,0,0,0,0.0,0,0,91.5,0.0,1,0,0.0,0,0,0,0
27,2021-03-10 00:13:54,439.925,0,-0.445488,-0.0520521,-0.182401,35.5,38.2,53.7568,8.24811,0,0,0.0,0,4.84182,677.843,0.0,0.0,0.0270559,0.11331,16360.1,37,30,7,0,0,0,0.0,0,0,88.2,0.0,1,0,0.0,0,0,0,0
28,2021-03-10 00:14:24,439.933,0,-0.453728,-0.0406613,-0.165229,35.3,40.2,53.6056,8.2499,0,0,0.0,0,4.84182,677.843,0.0,0.0,0.0270559,0.11331,16360.1,37,30,7,0,0,0,0.0,0,0,85.2,0.0,1,0,0.0,0,0,0,0
29,2021-03-10 00:14:54,439.942,0,-0.428345,-0.0646521,-0.18026,35.3,42.0,53.3328,8.24999,0,0,0.0,0,4.84182,677.843,0.0,0.0,0.0270559,0.11331,16360.1,37,30,7,0,0,0,0.0,0,0,82.5,0.0,1,0,0.0,0,0,0,0
30,2021-03-10 00:15:24,439.95,0,-0.452321,-0.0640291,-0.187477,35.3,43.7,53.1943,8.24892,0,0,0.0,0,4.84182,677.843,0.0,0.0,0.0270559,0.11331,16360.1,37,30,7,0,0,0,0.0,0,0,79.95,0.0,1,0,0.0,0,0,0,0
31,2021-03-10 00:15:54,439.958,0,-0.446253,-0.0630965,-0.193463,35.4,45.3,53.0524,8.24644,0,0,0.0,0,4.84182,677.843,0.0,0.0,0.0270559,0.11331,16360.1,37,30,7,0,0,0,0.0,0,0,77.55,0.0,1,0,0.0,0,0,0,0
32,2021-03-10 00:16:24,439.967,0,-0.440187,-0.0706726,-0.162177,35.5,46.9,52.9187,8.24358,0,0,0.0,0,4.84182,677.843,0.0,0.0,0.0270559,0.11331,16360.1,37,30,7,0,0,0,0.0,0,0,75.15,0.0,1,0,0.0,0,0,0,0
